audio_id,dataset,category,audio_file,engine,status,cer,substitution,deletion,insertion,reference_chars,reference_text,hypothesis_text,error
speech_S000012_000166,KconfSpeech,meeting,evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000012\000166.wav,clova,OK,8.82,0,9,0,102,의사가 우리가 생각하기에 안정적인 직업이라고 생각하잖아요? b/ (이제)/(인제)/ 불안정한 사회가 되다 보니까 이제/ 안정성을 최고로 추구하게 된 것 같습니다. b/ 이제/ 이런 일을 겪고 나니까 아/ 나에게도 일자리 문제가 성큼 다가왔구나 이런 생각이 들었습니다.,의사가 우리가 생각하기에 안정적인 직업이라고 생각하잖아요. 이제 불안정한 사회가 되다 보니까 이제 안정성을 최고로 추구하게 된 것 같습니다. 이제 이런 일을 겪고 나니까 아 나에게도 일자리 문제가 성큼 다가왔구나 이런 생각이.,
speech_S000012_000166,KconfSpeech,meeting,evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000012\000166.wav,azure,OK,11.76,3,9,0,102,의사가 우리가 생각하기에 안정적인 직업이라고 생각하잖아요? b/ (이제)/(인제)/ 불안정한 사회가 되다 보니까 이제/ 안정성을 최고로 추구하게 된 것 같습니다. b/ 이제/ 이런 일을 겪고 나니까 아/ 나에게도 일자리 문제가 성큼 다가왔구나 이런 생각이 들었습니다.,의사가 우리가 생각하기에 안정적인 직업이라고 생각하잖아요. 이제 불안정한 사회가 되다 보니까 이제 안정성을 최고로 추구하게 된 것 같습니다. 그래서 이런 일을 겪고 나니까 나에게도 일자리 문제가 성큼 다가왔구나 이런 생각이.,
speech_S000012_000166,KconfSpeech,meeting,evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000012\000166.wav,whisper,OK,11.76,1,11,0,102,의사가 우리가 생각하기에 안정적인 직업이라고 생각하잖아요? b/ (이제)/(인제)/ 불안정한 사회가 되다 보니까 이제/ 안정성을 최고로 추구하게 된 것 같습니다. b/ 이제/ 이런 일을 겪고 나니까 아/ 나에게도 일자리 문제가 성큼 다가왔구나 이런 생각이 들었습니다.,의사가 우리가 생각하기에 안정적인 직업이라고 생각하잖아요. 이제 불안정한 사회가 되다 보니까 안정성을 최고로 추구하게 된 것 같습니다. 이런 일을 겪고 나니까 나에게도 일자리 문제가 성큼 다가왔구나 이런 생각이 듭니다.,
speech_S000012_000166,KconfSpeech,meeting,evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000012\000166.wav,google,OK,14.71,2,13,0,102,의사가 우리가 생각하기에 안정적인 직업이라고 생각하잖아요? b/ (이제)/(인제)/ 불안정한 사회가 되다 보니까 이제/ 안정성을 최고로 추구하게 된 것 같습니다. b/ 이제/ 이런 일을 겪고 나니까 아/ 나에게도 일자리 문제가 성큼 다가왔구나 이런 생각이 들었습니다.,의사가 우리가 생각하기 안정적인 직업이라고 생각하잖아요. 이제 불안정한 사회가 되다 보니까 이제 안정성을 최고로 추구하게 된 거 같습니다. 이제 이런 일을 겪고 나니까 아 나에게도 일자리 문제가 성큼 다가왔구나 그런.,
speech_S000012_000166,KconfSpeech,meeting,evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000012\000166.wav,assemblyai,OK,12.75,2,11,0,102,의사가 우리가 생각하기에 안정적인 직업이라고 생각하잖아요? b/ (이제)/(인제)/ 불안정한 사회가 되다 보니까 이제/ 안정성을 최고로 추구하게 된 것 같습니다. b/ 이제/ 이런 일을 겪고 나니까 아/ 나에게도 일자리 문제가 성큼 다가왔구나 이런 생각이 들었습니다.,의사가 우리가 생각하기엔 안정적인 직업이라고 생각하잖아요. 이제 불안정한 사회가 되다 보니까 안정성을 최고로 추구하게 된 것 같습니다. 이런 일을 겪고 나니까 나에게도 일자리 문제가 성큼 다가왔구나 이런 생각이 듭니다.,
speech_S000018_000377,KconfSpeech,meeting,evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000018\000377.wav,clova,OK,8.82,0,1,5,68,o/ 일본 같은 경우에는 엄청난 예산과 인력을 투입 했습니다 그 결과 지금 이지메라고 하는 부분들에 대해서는 일본 같은 경우에 옛날 말이 될 정도로 상당히 많은 부분에서.,일본 같은 경우에는 엄청난 예산과 그리고 인력을 투입했습니다. 그 결과 지금 이지메라고 하는 부분들에 대해서는 일본 같은 경우에 옛날 말이 될 정도로 상당히 많은 부분에서 학교.,
speech_S000018_000377,KconfSpeech,meeting,evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000018\000377.wav,azure,OK,13.24,0,1,8,68,o/ 일본 같은 경우에는 엄청난 예산과 인력을 투입 했습니다 그 결과 지금 이지메라고 하는 부분들에 대해서는 일본 같은 경우에 옛날 말이 될 정도로 상당히 많은 부분에서.,일본 같은 경우에는 엄청난 예산과 어 그리고 인력을 투입했습니다. 그 결과 지금 이지메라고 하는 부분들에 대해서는 일본 같은 경우에 옛날 말이 될 정도로 어 상당히 그 많은 부분에서 합격.,
speech_S000018_000377,KconfSpeech,meeting,evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000018\000377.wav,whisper,OK,11.76,1,1,6,68,o/ 일본 같은 경우에는 엄청난 예산과 인력을 투입 했습니다 그 결과 지금 이지메라고 하는 부분들에 대해서는 일본 같은 경우에 옛날 말이 될 정도로 상당히 많은 부분에서.,일본 같은 경우에는 엄청난 예산과 그리고 인력을 투입했습니다 그 결과 지금 이지매라고 하는 부분들에 대해서는 일본 같은 경우에 옛날 말이 될 정도로 상당히 그 많은 부분에서 합격,
speech_S000018_000377,KconfSpeech,meeting,evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000018\000377.wav,google,OK,17.65,4,1,7,68,o/ 일본 같은 경우에는 엄청난 예산과 인력을 투입 했습니다 그 결과 지금 이지메라고 하는 부분들에 대해서는 일본 같은 경우에 옛날 말이 될 정도로 상당히 많은 부분에서.,1번 같은 경우에는 엄청난 예산과 어 그리고 인력을 투입했습니다. 그 결과 어 지금이 지메라고 하는 부분들에 대해서는 1번 같은 경우에 옛날 말이 될 정도로 어 상당히 그 많은 부분에서.,
speech_S000018_000377,KconfSpeech,meeting,evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000018\000377.wav,assemblyai,OK,7.35,1,1,3,68,o/ 일본 같은 경우에는 엄청난 예산과 인력을 투입 했습니다 그 결과 지금 이지메라고 하는 부분들에 대해서는 일본 같은 경우에 옛날 말이 될 정도로 상당히 많은 부분에서.,일본 같은 경우에는 엄청난 예산과 그리고 인력을 투입했습니다. 그 결과 지금 이지매라고 하는 부분들에 대해서는 일본 같은 경우에 옛날 말이 될 정도로 상당히 많은 부분에서,
